ID,Base_Station,Location,Bandwidth,Transmission_Power,Frequency_Band,Coverage_Area,Maximum_Capacity,Operational_Status,Deployment_Date
1,BS-001,"37.7749° N, 122.4194° W",100,40,3.5,5.0,500,Active,2023-01-15
2,BS-002,"34.0522° N, 118.2437° W",80,35,3.7,4.5,450,Active,2023-02-20
3,BS-003,"40.7128° N, 74.0060° W",120,45,3.6,6.0,600,Maintenance,2023-03-18
4,BS-004,"51.5074° N, 0.1278° W",90,50,3.4,4.0,550,Active,2023-04-10
5,BS-005,"48.8566° N, 2.3522° E",110,30,3.8,5.5,480,Decommissioned,2023-05-05
6,BS-006,"35.6895° N, 139.6917° E",95,55,3.5,4.8,510,Active,2023-06-12
7,BS-007,"55.7558° N, 37.6173° E",100,40,3.7,5.2,530,Active,2023-07-07
8,BS-008,"39.9042° N, 116.4074° E",105,38,3.6,5.1,490,Maintenance,2023-08-15
9,BS-009,"52.5200° N, 13.4050° E",115,42,3.5,6.3,620,Active,2023-09-10
10,BS-010,"41.9028° N, 12.4964° E",85,37,3.8,4.2,470,Active,2023-10-20
